Month,M2
Tháng 12/2025,0
Tháng 11/2025,0
Tháng 10/2025,0
Tháng 9/2025,19980717
Tháng 8/2025,19685504
Tháng 7/2025,19482760
Tháng 6/2025,19584434
Tháng 5/2025,18973143
Tháng 4/2025,18721571
Tháng 3/2025,18450042
Tháng 2/2025,18157191
Tháng 1/2025,18176926
Tháng 12/2024,17914566
Tháng 11/2024,17301843
Tháng 10/2024,17107320
Tháng 9/2024,16949072
Tháng 8/2024,16658293
Tháng 7/2024,16401397
Tháng 6/2024,16513106
Tháng 5/2024,16130057
Tháng 4/2024,16019364
Tháng 3/2024,16012915
Tháng 2/2024,15914067
Tháng 1/2024,15999293
Tháng 12/2023,15998956
Tháng 11/2023,15354119
Tháng 10/2023,15074263
Tháng 9/2023,15026012
Tháng 8/2023,14801154
Tháng 7/2023,14640943
Tháng 6/2023,14754221
Tháng 5/2023,14517832
Tháng 4/2023,14470593
Tháng 3/2023,14415021
Tháng 2/2023,14272184
Tháng 1/2023,14339502
Tháng 12/2022,14226792
Tháng 11/2022,13878503
Tháng 10/2022,13815145
Tháng 9/2022,13832397
Tháng 8/2022,13761019
Tháng 7/2022,13828044
Tháng 6/2022,13908338
Tháng 5/2022,13848264
Tháng 4/2022,13871751
Tháng 3/2022,13864061
Tháng 2/2022,13644750
Tháng 1/2022,13748740
Tháng 12/2021,13402097
Tháng 11/2021,13040842
Tháng 10/2021,12907567
Tháng 9/2021,12879090
Tháng 8/2021,12757648
Tháng 7/2021,12692256
Tháng 6/2021,12647703
Tháng 5/2021,12558573
Tháng 4/2021,12465012
Tháng 3/2021,12349750
Tháng 2/2021,12228211
Tháng 1/2021,12202217
Tháng 12/2020,12110606
Tháng 11/2020,11730140
Tháng 10/2020,11556445
Tháng 9/2020,11485845
Tháng 8/2020,11315994
Tháng 7/2020,11163361
Tháng 6/2020,11118423
Tháng 5/2020,10928485
Tháng 4/2020,10779851
Tháng 3/2020,10755572
Tháng 2/2020,10672880
Tháng 1/2020,10758024
Tháng 12/2019,10573725
Tháng 11/2019,10274960
Tháng 10/2019,10138630
Tháng 9/2019,10083735
Tháng 8/2019,9949135
Tháng 7/2019,9860081
Tháng 6/2019,9866484
Tháng 5/2019,9706888
Tháng 4/2019,9546608
Tháng 3/2019,9478157
Tháng 2/2019,9376631
Tháng 1/2019,9488086
Tháng 12/2018,9121583
Tháng 11/2018,9061689
Tháng 10/2018,8999033
Tháng 9/2018,8933435
Tháng 8/2018,8888384
Tháng 7/2018,8842552
Tháng 6/2018,8879582
Tháng 5/2018,8757588
Tháng 4/2018,8661255
Tháng 3/2018,8521098
Tháng 2/2018,8401534
Tháng 1/2018,8296475
Tháng 12/2017,8192548
Tháng 11/2017,8062576
Tháng 10/2017,7901462
Tháng 9/2017,7877753
Tháng 8/2017,7762372
Tháng 7/2017,7668850
Tháng 6/2017,7616856
Tháng 5/2017,7466760
Tháng 4/2017,7403116
Tháng 3/2017,7374307
Tháng 2/2017,7252377
Tháng 1/2017,7308746
Tháng 12/2016,7125801
Tháng 11/2016,6971061
Tháng 10/2016,6863455
Tháng 9/2016,6829893
Tháng 8/2016,6682211
Tháng 7/2016,6609446
Tháng 6/2016,6592394
Tháng 5/2016,6427397
Tháng 4/2016,6326334
Tháng 3/2016,6267958
Tháng 2/2016,6138610
Tháng 1/2016,6107942
Tháng 12/2015,6019609
Tháng 11/2015,5809442
Tháng 10/2015,5722963
Tháng 9/2015,5695769
Tháng 8/2015,5591611
Tháng 7/2015,5505640
Tháng 6/2015,5492731
Tháng 5/2015,5376435
Tháng 4/2015,5328232
Tháng 3/2015,5300817
Tháng 2/2015,5308012
Tháng 1/2015,5192194
Tháng 12/2014,5179216
Tháng 11/2014,4973579
Tháng 10/2014,4887877
Tháng 9/2014,4847017
Tháng 8/2014,4776680
Tháng 7/2014,4701924
Tháng 6/2014,4708299
Tháng 5/2014,4608425
Tháng 4/2014,4565050
Tháng 3/2014,4524885
Tháng 2/2014,4475609
Tháng 1/2014,4494180
Tháng 12/2013,4400692
Tháng 11/2013,4217699
Tháng 10/2013,4137265
Tháng 9/2013,4085496
Tháng 8/2013,4039750
Tháng 7/2013,3981117
Tháng 6/2013,3973449
Tháng 5/2013,3899158
Tháng 4/2013,3866254
Tháng 3/2013,3842421
Tháng 2/2013,3786543
Tháng 1/2013,3766292
Tháng 12/2012,3702867
Tháng 11/2012,3519376
Tháng 10/2012,3441875
Tháng 9/2012,3408877
Tháng 8/2012,3371651
Tháng 7/2012,3338824
Tháng 6/2012,3306645
Tháng 5/2012,3247187
Tháng 4/2012,3184846
Tháng 3/2012,3166352
Tháng 2/2012,2667978
Tháng 1/2012,2684768
Tháng 12/2011,2665046
Tháng 10/2011,2621877
Tháng 9/2011,2655290
Tháng 8/2011,2629925
Tháng 7/2011,2526026
Tháng 5/2011,2489685
Tháng 4/2011,2487246
Tháng 3/2011,2547125
Tháng 2/2011,2506026
Tháng 1/2011,2460990
Tháng 12/2010,2438955
Tháng 11/2010,2400087
Tháng 10/2010,2361219
Tháng 9/2010,2312635
Tháng 8/2010,2260357
Tháng 7/2010,2195254
Tháng 6/2010,2127370
Tháng 5/2010,2079540
Tháng 4/2010,2030008
Tháng 3/2010,1972413
Tháng 2/2010,1970404
Tháng 1/2010,1951164
Tháng 12/2009,2092447
Tháng 9/2009,1986084
Tháng 6/2009,1907523
Tháng 3/2009,1748226
